Number,City Name,State Name,Road Connectivity Score (1-100),Train Connectivity Score (1-100),Flight Connectivity Score (1-100),Overall Connectivity Score (1-100),Road Access Indicator,Train Access Indicator,Flight Access Indicator,Connectivity Confidence
431,Jaunpur,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
432,Jhansi,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
433,Kannauj,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
434,Kanpur,Uttar Pradesh,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
435,Lakhimpur,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
436,Lalitpur,Uttar Pradesh,65,35,90,63,Road access exists; NH status not asserted,No city-level railway match in conservative reference,AAI airport-city match,Medium
437,Lucknow,Uttar Pradesh,95,90,90,92,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
438,Mainpuri,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
439,Mathura,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
440,Meerut,Uttar Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
441,Mirzapur-Vindhyachal,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
442,Moradabad,Uttar Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
443,Muzaffarnagar,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
444,Partapgarh,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
445,Pilibhit,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
446,Prayagraj,Uttar Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
447,Rae Bareli,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
448,Rampur,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
449,Saharanpur,Uttar Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
450,Sambhal,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
451,Shahjahanpur,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
452,Sitapur,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
453,Sultanpur,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
454,Tehri,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
455,Varanasi,Uttar Pradesh,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
456,Almora,Uttarakhand,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
457,Dehra Dun,Uttarakhand,95,90,90,92,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
458,Haridwar,Uttarakhand,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
459,Mussoorie,Uttarakhand,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
460,Nainital,Uttarakhand,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
461,Pithoragarh,Uttarakhand,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
462,Alipore,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
463,Alipur Duar,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
464,Asansol,West Bengal,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
465,Baharampur,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
466,Bally,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
467,Balurghat,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
468,Bankura,West Bengal,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
469,Baranagar,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
470,Barasat,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
471,Barrackpore,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
472,Basirhat,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
473,Bhatpara,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
474,Bishnupur,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
475,Budge Budge,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
476,Burdwan,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
477,Chandernagore,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
478,Darjeeling,West Bengal,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
479,Diamond Harbour,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
480,Dum Dum,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
481,Durgapur,West Bengal,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
482,Halisahar,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
483,Haora,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
484,Hugli,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
485,Ingraj Bazar,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
486,Jalpaiguri,West Bengal,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
487,Kalimpong,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
488,Kamarhati,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
489,Kanchrapara,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
490,Kharagpur,West Bengal,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
491,Cooch Behar,West Bengal,65,35,90,63,Road access exists; NH status not asserted,No city-level railway match in conservative reference,AAI airport-city match,Medium
492,Kolkata,West Bengal,95,90,90,92,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
493,Krishnanagar,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
494,Malda,West Bengal,65,90,90,82,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
495,Midnapore,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
496,Murshidabad,West Bengal,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
497,Nabadwip,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
498,Palashi,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
499,Panihati,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
500,Purulia,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
501,Raiganj,West Bengal,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
502,Santipur,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
503,Shantiniketan,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
504,Shrirampur,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
505,Siliguri,West Bengal,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
506,Siuri,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
507,Tamluk,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
508,Titagarh,West Bengal,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
