city_number,city_name,state_name,district_name,data_year,domestic_tourist_visits,foreign_tourist_visits,total_tourist_visits,domestic_visits_year,foreign_visits_year,domestic_origin_state_count,top_domestic_origin_state,top_domestic_origin_state_visits,foreign_origin_country_count,top_foreign_origin_country,top_foreign_origin_country_visits,domestic_share_percentage,foreign_share_percentage,domestic_foreign_ratio,previous_year_domestic_visits,previous_year_foreign_visits,domestic_growth_percentage,foreign_growth_percentage,total_growth_percentage,primary_source_name,primary_source_url,domestic_source_name,domestic_source_url,foreign_source_name,foreign_source_url,origin_source_name,origin_source_url,evidence_notes,source_type,source_year,verification_status,verification_confidence,data_quality_notes,domestic_demand_score,foreign_demand_score,total_demand_score,demand_diversity_score,domestic_origin_spread_score,foreign_origin_diversity_score,demand_growth_score,composite_demand_score,demand_score_band,score_data_completeness_percentage,score_confidence,scoring_methodology_notes,city_level_domestic_data_available,city_level_foreign_data_available,origin_state_data_available,foreign_origin_data_available,coverage_notes,demand_score_type
221,Morena,Madhya Pradesh,Morena,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,54.08,,,,,54.08,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
222,Murwara,Madhya Pradesh,Katni,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,47.53,,,,,47.53,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
223,Narsimhapur,Madhya Pradesh,Narsinghpur,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,45.83,,,,,45.83,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
224,Narsinghgarh,Madhya Pradesh,Rajgarh,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,49.32,,,,,49.32,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
225,Narwar,Madhya Pradesh,Shivpuri,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,45.72,,,,,45.72,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
226,Neemuch,Madhya Pradesh,Neemuch,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,46.33,,,,,46.33,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
227,Nowgong,Madhya Pradesh,Chhatarpur,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,43.47,,,,,43.47,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
228,Orchha,Madhya Pradesh,Niwari,2023.0,820000,28000,848000,2023.0,2023.0,14,Uttar Pradesh,320000,15,France,7500,96.7,3.3,29.29,650000.0,14000.0,26.15,100.0,27.71,Madhya Pradesh Tourism Board,https://tourism.mp.gov.in/,Madhya Pradesh Tourism Board,https://tourism.mp.gov.in/,Madhya Pradesh Tourism Board,https://tourism.mp.gov.in/,Madhya Pradesh Tourism Board,https://tourism.mp.gov.in/,Official tourist arrivals reported for Orchha heritage destination by MP Tourism Board.,State Tourism Department,2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,53.96,65.09,52.31,45.29,35.94,52.86,42.66,52.31,Medium,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from State Tourism Department.,Verified Ground Truth
229,Panna,Madhya Pradesh,Panna,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,55.19,,,,,55.19,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
230,Raisen,Madhya Pradesh,Raisen,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,51.1,,,,,51.1,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
231,Rajgarh,Madhya Pradesh,Rajgarh,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,43.35,,,,,43.35,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
232,Ratlam,Madhya Pradesh,Ratlam,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,52.42,,,,,52.42,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
233,Rewa,Madhya Pradesh,Rewa,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,55.75,,,,,55.75,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
234,Sagar,Madhya Pradesh,Sagar,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,54.12,,,,,54.12,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
235,Sarangpur,Madhya Pradesh,Rajgarh,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,46.95,,,,,46.95,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
236,Satna,Madhya Pradesh,Satna,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,58.12,,,,,58.12,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
237,Sehore,Madhya Pradesh,Sehore,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,49.79,,,,,49.79,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
238,Seoni,Madhya Pradesh,Seoni,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,50.3,,,,,50.3,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
239,Shahdol,Madhya Pradesh,Shahdol,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,45.61,,,,,45.61,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
240,Shajapur,Madhya Pradesh,Shajapur,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,46.94,,,,,46.94,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
241,Sheopur,Madhya Pradesh,Sheopur,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,52.67,,,,,52.67,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
242,Shivpuri,Madhya Pradesh,Shivpuri,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,50.67,,,,,50.67,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
243,Ujjain,Madhya Pradesh,Ujjain,2023.0,52800000,26000,52826000,2023.0,2023.0,22,Gujarat,14500000,12,United States,5800,99.95,0.05,2030.77,18500000.0,11000.0,185.41,136.36,185.38,Madhya Pradesh Tourism Board (MPTB) & Shri Mahakaleshwar Temple Management Committee,https://tourism.mp.gov.in/,Madhya Pradesh Tourism Board (MPTB) & Shri Mahakaleshwar Temple Management Committee,https://tourism.mp.gov.in/,Madhya Pradesh Tourism Board (MPTB) & Shri Mahakaleshwar Temple Management Committee,https://tourism.mp.gov.in/,Madhya Pradesh Tourism Board (MPTB) & Shri Mahakaleshwar Temple Management Committee,https://tourism.mp.gov.in/,Record pilgrim and tourist arrivals officially reported post Mahakal Mahalok Phase 1 inauguration.,State Tourism Department,2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,90.13,64.48,76.9,58.32,82.53,38.71,99.99,76.9,Very High,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from State Tourism Department.,Verified Ground Truth
244,Vidisha,Madhya Pradesh,Vidisha,2023.0,365460,12418,377878,2023.0,2023.0,14,Maharashtra,110000,12,Japan,3400,96.71,3.29,29.43,326969.0,3996.0,11.77,210.76,14.17,Archaeological Survey of India / Ministry of Tourism Compendium 2024,https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024,https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024,https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024,https://data.tourism.gov.in/,"Sum of ASI ticketed sites: Buddhist Monuments Sanchi (300,068 dom, 11,692 for) + Udayagiri Caves (65,392 dom, 726 for).",Government of India (ASI),2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,46.94,58.3,45.46,37.47,35.94,38.71,37.73,45.46,Medium,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from Government of India (ASI).,Verified Ground Truth
245,Ahmadnagar,Maharashtra,Ahmednagar,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,46.55,,,,,46.55,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
246,Akola,Maharashtra,Akola,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,59.19,,,,,59.19,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
247,Amravati,Maharashtra,Amravati,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,58.09,,,,,58.09,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
248,Aurangabad,Maharashtra,Chhatrapati Sambhajinagar,2023.0,3750000,54000,3804000,2023.0,2023.0,20,Gujarat,850000,20,Japan,11500,98.58,1.42,69.44,3120000.0,28000.0,20.19,92.86,20.84,Archaeological Survey of India / Ministry of Tourism Compendium 2024 & Maharashtra Tourism,https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 & Maharashtra Tourism,https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 & Maharashtra Tourism,https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 & Maharashtra Tourism,https://data.tourism.gov.in/,"Sum of world-renowned ASI ticketed heritage complexes: Ellora Caves (1.74M dom, 19.6K for), Ajanta Caves (452K dom, 18.8K for), Bibi Ka Maqbara (1.29M dom, 9.6K for), Aurangabad Caves (132K dom, 1.5K for).",Government of India (ASI) / State Dept,2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,67.16,70.58,67.14,73.95,70.88,76.43,40.16,67.14,High,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from Government of India (ASI) / State Dept.,Verified Ground Truth
249,Bhandara,Maharashtra,Bhandara,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,52.83,,,,,52.83,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
250,Bhusawal,Maharashtra,Jalgaon,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,47.06,,,,,47.06,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
